time_s,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,P_bath_W,P_HX_W,UA_corr_W_per_K
375.824,6.263733333333334,6.5,-39.915,46.415,218.60716736969667,362.74550306719993,7.815264528001722
376.829,6.280483333333334,6.5200000000000005,-40.265,46.785000000000004,216.72436932838227,360.8627050258856,7.713213744274566
377.834,6.297233333333334,6.545,-40.574999999999996,47.12,218.8854867642959,363.0238224617992,7.704240714384534
378.84,6.313999999999999,6.53,-40.80500000000001,47.33500000000001,221.20500545932,365.34334115682327,7.71824952269617
379.844,6.330733333333333,6.430000000000001,-41.095000000000006,47.525000000000006,219.56121950556874,363.699555203072,7.652804949038863
380.849,6.347483333333333,6.465,-41.36,47.825,221.7352803054205,365.87361600292377,7.650258567755855
381.854,6.364233333333333,6.465,-41.615,48.08,222.6107442174068,366.7490799149101,7.627892677098797
382.859,6.380983333333333,6.465,-41.85,48.315,220.74123713898592,364.8795728364892,7.552097130011161
383.863,6.397716666666667,6.4350000000000005,-42.035000000000004,48.470000000000006,222.0406192365803,366.1789549340836,7.554754589108388
384.869,6.414483333333334,6.4,-42.214999999999996,48.614999999999995,222.76989054461558,366.9082262421189,7.547222590602055
385.873,6.431216666666667,6.44,-42.455,48.894999999999996,223.84311356177759,367.9814492592809,7.525952536236444
386.878,6.447966666666667,6.46,-42.655,49.115,228.97416255437707,373.11249825188037,7.596711763247081
387.884,6.464733333333333,6.41,-42.870000000000005,49.28,228.8546882726391,372.9930239701424,7.568851947446071
388.888,6.481466666666666,6.4,-43.01,49.41,231.69201196410737,375.83034766161063,7.606362025128732
389.893,6.498216666666666,6.435,-43.28,49.715,233.04448064509836,377.18281634260165,7.5869016663502284
390.898,6.514966666666667,6.38,-43.42,49.800000000000004,231.52008768948366,375.65842338698695,7.543341835080058
391.903,6.531716666666667,6.369999999999999,-43.644999999999996,50.01499999999999,230.18116531915683,374.3195010166601,7.484144776900133
392.908,6.548466666666667,6.39,-43.815,50.205,232.22322209721517,376.36155779471846,7.496495524244965
393.913,6.565216666666667,6.34,-43.95,50.290000000000006,228.9352438622343,373.0735795597376,7.418444612442584
394.917,6.58195,6.325,-44.230000000000004,50.55500000000001,231.18853610327136,375.32687180077465,7.424129597483426
395.923,6.598716666666666,6.3500000000000005,-44.38,50.730000000000004,232.20958099671293,376.3479166942162,7.418646100812462
396.928,6.615466666666666,6.305000000000001,-44.43,50.735,229.8227668675313,373.9611025650346,7.370870258500731
397.932,6.6322,6.285,-44.315000000000005,50.60000000000001,228.39162635467815,372.5299620521814,7.362252214469987
398.938,6.6489666666666665,6.305000000000001,-44.195,50.5,233.0182984648475,377.15663416235077,7.4684482012346685
399.942,6.6657,6.255000000000001,-44.0,50.255,234.21190060511165,378.3502363026149,7.528608821064867
400.948,6.6824666666666666,6.245,-43.855000000000004,50.1,231.36197086330415,375.5003065608074,7.495016099018112
401.952,6.6992,6.285,-43.690000000000005,49.97500000000001,230.68541796777637,374.8237536652797,7.500225185898542
