dataset,time_s,time_s_raw,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,P_bath_W,P_HX_W,P_HX_W_m2,UA_corr_W_per_K,UA_per_area_W_per_m2K,valve_state
mixed,569.682,634.995,9.4947,13.2,11.657499999999999,1.5425000000000004,187.9975127629774,187.9975127629774,1566.6459396914784,121.87845235849423,1015.6537696541186,1
mixed,570.779,636.092,9.512983333333333,13.15,11.66,1.4900000000000002,188.41308988209738,188.41308988209738,1570.1090823508116,126.45173817590427,1053.7644847992024,1
mixed,571.875,637.188,9.53125,13.11,11.605,1.504999999999999,188.49675489699396,188.49675489699396,1570.8062908082832,125.24701322059408,1043.7251101716174,1
mixed,572.97,638.283,9.5495,13.08,11.5325,1.5474999999999994,191.04579704742645,191.04579704742645,1592.0483087285538,123.4544730516488,1028.7872754304067,1
mixed,574.066,639.379,9.567766666666667,13.08,11.545,1.5350000000000001,196.5313906621035,196.5313906621035,1637.7615888508624,128.03347925869934,1066.9456604891614,1
mixed,575.163,640.476,9.58605,13.04,11.5625,1.4774999999999991,199.80139144216784,199.80139144216784,1665.0115953513987,135.2293681503675,1126.9114012530624,1
mixed,576.258,641.571,9.6043,12.98,11.485000000000001,1.4949999999999992,205.45361745102727,205.45361745102727,1712.1134787585606,137.42716886356345,1145.226407196362,1
mixed,577.354,642.667,9.622566666666668,13.02,11.290000000000001,1.7299999999999986,211.88106782835416,211.88106782835416,1765.6755652362847,122.47460568112967,1020.621714009414,1
mixed,578.451,643.764,9.64085,13.02,11.344999999999999,1.6750000000000007,220.1940228274332,220.1940228274332,1834.9501902286102,131.4591181059302,1095.4926508827518,1
mixed,579.546,644.859,9.6591,12.99,11.344999999999999,1.6450000000000014,226.8990665511149,226.8990665511149,1890.8255545926243,137.9325632529573,1149.4380271079774,1
mixed,580.642,645.955,9.677366666666668,12.91,11.3875,1.5225000000000009,232.43981201686856,232.43981201686856,1936.9984334739047,152.6698272688791,1272.2485605739926,1
mixed,581.739,647.052,9.69565,12.97,11.322499999999998,1.6475000000000026,239.56071877256656,239.56071877256656,1996.3393231047214,145.40863051445595,1211.7385876204662,1
mixed,582.8340000000001,648.147,9.7139,12.91,11.3875,1.5225000000000009,244.29938474348606,244.29938474348606,2035.8282061957173,160.45936600557368,1337.1613833797808,1
mixed,583.9300000000001,649.243,9.732166666666668,12.89,11.325000000000001,1.5649999999999995,248.9540434738021,248.9540434738021,2074.6170289483507,159.0760661174455,1325.633884312046,1
mixed,585.027,650.34,9.75045,12.91,11.3125,1.5975000000000001,258.5687100698752,258.5687100698752,2154.739250582293,161.8583474615807,1348.8195621798393,1
mixed,586.123,651.436,9.768716666666668,12.98,11.27,1.7100000000000009,269.2370308424918,269.2370308424918,2243.6419236874317,157.44855604824073,1312.071300402006,1
mixed,587.218,652.531,9.786966666666666,12.95,11.1925,1.7574999999999985,274.667492175849,274.667492175849,2288.8957681320753,156.28306809436657,1302.3589007863882,1
mixed,588.314,653.627,9.805233333333332,12.95,11.129999999999999,1.8200000000000003,282.2317067673653,282.2317067673653,2351.9308897280443,155.0723663556952,1292.2697196307934,1
