time_s,temp0_C,U1_bottom_C,U2_coilTop_C,U3_top_C,U4_coilMid_C,temp5_C,temp6_C,temp7_C,temp8_C,temp9_C,valve,mode,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,Strat_top_minus_bottom_C,dTbulk_dt_C_per_s,P_bath_W,P_HX_W,UA_corr_W_per_K
130.625,,8.6,-17.52,10.48,3.7,,,,,,1,O,2.1770833333333335,9.54,-6.91,16.45,1.8800000000000008,-0.017277543517439806,349.40376255318523,493.5420982506885,30.002559164175594
131.631,,8.61,-17.78,10.5,3.63,,,,,,1,O,2.19385,9.555,-7.075000000000001,16.630000000000003,1.8900000000000006,-0.01720016592058855,347.8389554120623,491.9772911095656,29.5837216542132
132.635,,8.46,-18.0,10.5,3.56,,,,,,1,O,2.210583333333333,9.48,-7.22,16.7,2.039999999999999,-0.017258538377455643,349.01942160728555,493.15775730478884,29.530404629029274
133.64,,8.45,-18.26,10.45,3.48,,,,,,1,O,2.227333333333333,9.45,-7.390000000000001,16.84,2.0,-0.017156290671330843,346.95166624632367,491.09000194382696,29.162114129680937
134.645,,8.48,-18.42,10.38,3.47,,,,,,1,O,2.2440833333333337,9.43,-7.4750000000000005,16.905,1.9000000000000004,-0.01718508530524496,347.5339801279689,491.6723158254722,29.084431577963453
135.65,,8.43,-18.66,10.45,3.43,,,,,,1,O,2.2608333333333333,9.44,-7.615,17.055,2.0199999999999996,-0.017032993497411303,344.45822749814886,488.59656319565215,28.648288665825397
136.654,,8.39,-18.94,10.52,3.41,,,,,,1,O,2.2775666666666665,9.455,-7.765000000000001,17.22,2.129999999999999,-0.016833037508101917,340.41451752634515,484.55285322384844,28.138957794648576
137.66,,8.33,-19.06,10.45,3.38,,,,,,1,O,2.2943333333333333,9.39,-7.84,17.23,2.119999999999999,-0.0167156722963098,338.04104084827316,482.17937654577645,27.984873856400256
138.664,,8.34,-19.3,10.45,3.36,,,,,,1,O,2.3110666666666666,9.395,-7.970000000000001,17.365000000000002,2.1099999999999994,-0.016471124550234372,333.0955517793898,477.2338874768931,27.48251583512197
139.669,,8.3,-19.61,10.48,3.3,,,,,,1,O,2.3278166666666666,9.39,-8.155,17.545,2.1799999999999997,-0.01625615779697188,328.74827912816244,472.88661482566573,26.952785114030533
140.675,,8.3,-19.65,10.48,3.22,,,,,,1,O,2.3445833333333335,9.39,-8.215,17.605,2.1799999999999997,-0.015980785606433286,323.1794273189004,467.3177630164037,26.544604545095353
