dataset,time_s,time_s_raw,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,P_bath_W,P_HX_W,P_HX_W_m2,UA_corr_W_per_K,UA_per_area_W_per_m2K,valve_state
nomix,168.818,180.871,2.8136333333333337,8.93,-6.317500000000001,15.2475,175.30646478228306,175.30646478228306,1460.8872065190255,11.497390705511268,95.8115892125939,1
nomix,169.823,181.876,2.8303833333333333,8.885,-6.31,15.195,172.7289889564778,172.7289889564778,1439.4082413039816,11.367488578906073,94.72907149088394,1
nomix,170.828,182.881,2.8471333333333333,8.895,-6.4399999999999995,15.334999999999999,169.900220304075,169.900220304075,1415.835169200625,11.079244884517443,92.32704070431203,1
nomix,171.832,183.885,2.8638666666666666,8.86,-6.522500000000001,15.3825,168.09850335241114,168.09850335241114,1400.820861270093,10.927905304886146,91.06587754071788,1
nomix,172.838,184.891,2.8806333333333334,8.895,-6.645,15.54,169.04881029956536,169.04881029956536,1408.7400858297115,10.878301821078853,90.65251517565711,1
nomix,173.842,185.895,2.897366666666667,8.835,-6.797500000000001,15.632500000000002,167.62857742369755,167.62857742369755,1396.9048118641463,10.72308187581625,89.3590156318021,1
nomix,174.847,186.9,2.9141166666666667,8.844999999999999,-7.027500000000001,15.872499999999999,166.47137618619138,166.47137618619138,1387.2614682182616,10.488037560950788,87.40031300792324,1
nomix,175.853,187.906,2.9308833333333335,8.78,-7.2124999999999995,15.9925,164.2433178094562,164.2433178094562,1368.6943150788015,10.270021435638968,85.58351196365807,1
nomix,176.857,188.91,2.9476166666666668,8.82,-7.465000000000001,16.285,163.40266858815224,163.40266858815224,1361.6889049012686,10.033937278977724,83.61614399148104,1
nomix,177.863,189.916,2.964383333333333,8.795,-7.6775,16.4725,160.13746449458327,160.13746449458327,1334.478870788194,9.721503384099758,81.01252820083133,1
nomix,178.867,190.92,2.9811166666666664,8.82,-7.774999999999999,16.595,159.18696730986358,159.18696730986358,1326.55806091553,9.59246564084746,79.93721367372883,1
nomix,179.872,191.925,2.997866666666667,8.795,-7.819999999999999,16.615,157.04643890557392,157.04643890557392,1308.720324213116,9.452087806534694,78.76739838778911,1
nomix,180.877,192.93,3.014616666666667,8.775,-7.870000000000001,16.645000000000003,156.83928683072156,156.83928683072156,1306.9940569226796,9.42260659842124,78.52172165351034,1
nomix,181.882,193.935,3.0313666666666665,8.8,-7.9475,16.747500000000002,152.9511744730057,152.9511744730057,1274.5931206083808,9.132776502343972,76.10647085286644,1
nomix,182.886,194.939,3.0481,8.8,-8.049999999999999,16.85,148.62616257241012,148.62616257241012,1238.5513547700843,8.82054377284333,73.50453144036108,1
nomix,183.892,195.945,3.0648666666666666,8.725,-8.075,16.799999999999997,146.3218731647563,146.3218731647563,1219.348943039636,8.709635307425973,72.58029422854977,1
nomix,184.897,196.95,3.0816166666666667,8.725,-8.1525,16.877499999999998,147.8176827052637,147.8176827052637,1231.8140225438642,8.758268861221373,72.98557384351145,1
nomix,185.901,197.954,3.0983500000000004,8.71,-8.2375,16.9475,146.7696974026935,146.7696974026935,1223.0808116891126,8.660256521769789,72.16880434808158,1
nomix,186.907,198.96,3.1151166666666668,8.8,-8.192499999999999,16.9925,145.59011028292713,145.59011028292713,1213.2509190243927,8.567904091977468,71.3992007664789,1
nomix,187.911,199.964,3.13185,8.675,-8.227500000000001,16.902500000000003,144.71667367112124,144.71667367112124,1205.972280592677,8.561850239380044,71.3487519948337,1
nomix,188.916,200.969,3.1486,8.705,-8.285,16.990000000000002,146.60624734733946,146.60624734733946,1221.7187278944955,8.62897276911945,71.90810640932875,1
nomix,189.921,201.974,3.1653499999999997,8.69,-8.36,17.049999999999997,143.97395006201592,143.97395006201592,1199.782917183466,8.444219944986273,70.36849954155228,1
nomix,190.92600000000002,202.979,3.1821,8.695,-8.3425,17.0375,143.9630657130503,143.9630657130503,1199.6922142754192,8.44977641749378,70.41480347911484,1
nomix,191.931,203.984,3.19885,8.685,-8.375,17.060000000000002,142.5432757984382,142.5432757984382,1187.8606316536518,8.355408897915485,69.62840748262904,1
nomix,192.936,204.989,3.2156000000000002,8.715,-8.38,17.095,143.384103427396,143.384103427396,1194.8675285616334,8.387487769955895,69.89573141629913,1
nomix,193.94,205.993,3.2323333333333335,8.68,-8.5275,17.2075,141.85496049409085,141.85496049409085,1182.1246707840905,8.243786749620273,68.69822291350228,1
nomix,194.946,206.999,3.2491,8.66,-8.7475,17.4075,141.92065647962735,141.92065647962735,1182.672137330228,8.15284541029024,67.94037841908533,1
nomix,195.951,208.004,3.26585,8.675,-9.0275,17.7025,141.54908696080258,141.54908696080258,1179.575724673355,7.995994179398536,66.63328482832114,1
nomix,196.955,209.008,3.2825833333333336,8.629999999999999,-9.307500000000001,17.9375,142.21572508703764,142.21572508703764,1185.1310423919804,7.928402792308718,66.07002326923933,1
