temperature_C,heat_flow_W_per_g
-18.840579710144937,-0.2516971279373368
-18.387681159420282,-0.2516971279373368
-17.934782608695656,-0.2516971279373368
-17.481884057971,-0.2516971279373368
-17.028985507246375,-0.2516971279373368
-16.57608695652172,-0.2516971279373368
-16.123188405797094,-0.2516971279373368
-15.670289855072468,-0.2516971279373368
-15.217391304347814,-0.2516971279373368
-13.858695652173907,-0.2516971279373368
-13.40579710144928,-0.2516971279373368
-12.952898550724626,-0.2516971279373368
-12.5,-0.2516971279373368
-12.047101449275345,-0.2516971279373368
-11.59420289855072,-0.2516971279373368
-11.141304347826093,-0.2516971279373368
-10.688405797101439,-0.2516971279373368
-10.235507246376812,-0.2516971279373368
-9.782608695652158,-0.2516971279373368
-9.329710144927532,-0.2516971279373368
-8.876811594202906,-0.2516971279373368
-8.423913043478251,-0.2516971279373368
-7.971014492753625,-0.2516971279373368
-7.51811594202897,-0.2516971279373368
-7.065217391304344,-0.2516971279373368
-6.612318840579718,-0.2516971279373368
-6.159420289855063,-0.2516971279373368
-5.706521739130437,-0.2516971279373368
-5.253623188405783,-0.2516971279373368
-3.894927536231876,-0.2516971279373368
-3.4420289855072497,-0.2516971279373368
-2.989130434782595,-0.2516971279373368
-2.536231884057969,-0.2516971279373368
-2.0833333333333144,-0.2516971279373368
