time_s,TMI_C,pump_cmd_pct,pump_freq_hz,pump_pressure_before_bar_abs,pump_pressure_after_bar_abs,pump_pressure_error_bar,source_log,t_min,delta_p_bar,delta_p_full_error_bar,tmi_error_C
4046.541,-74.94,40.0,28.14,2.271,2.769,0.05,log_20260424_153546.csv,67.44235,0.4980000000000002,0.1,1.0
4048.633,-74.85,40.0,28.14,2.008,2.858,0.05,log_20260424_153546.csv,67.47721666666666,0.8500000000000001,0.1,1.0
4050.724,-74.83,40.0,28.14,2.359,2.809,0.05,log_20260424_153546.csv,67.51206666666667,0.4500000000000002,0.1,1.0
4052.816,-75.08,40.0,28.14,1.998,2.809,0.05,log_20260424_153546.csv,67.54693333333333,0.8110000000000002,0.1,1.0
4054.907,-75.29,40.0,28.14,2.359,2.652,0.05,log_20260424_153546.csv,67.58178333333333,0.29300000000000015,0.1,1.0
4056.999,-75.38,40.0,28.14,2.281,2.985,0.05,log_20260424_153546.csv,67.61664999999999,0.7039999999999997,0.1,1.0
4059.091,-75.43,40.0,28.14,2.222,2.71,0.05,log_20260424_153546.csv,67.65151666666667,0.488,0.1,1.0
4061.182,-75.55,40.0,28.14,2.222,2.779,0.05,log_20260424_153546.csv,67.68636666666666,0.5569999999999999,0.1,1.0
4063.275,-75.69,40.0,28.14,2.222,2.818,0.05,log_20260424_153546.csv,67.72125,0.5960000000000001,0.1,1.0
4065.367,-75.74,40.0,28.14,2.242,2.809,0.05,log_20260424_153546.csv,67.75611666666667,0.5670000000000002,0.1,1.0
4067.458,-75.78,40.0,28.14,2.203,2.671,0.05,log_20260424_153546.csv,67.79096666666666,0.46799999999999997,0.1,1.0
4069.55,-75.99,40.0,28.14,2.212,2.897,0.05,log_20260424_153546.csv,67.82583333333334,0.6849999999999996,0.1,1.0
4071.641,-75.89,40.0,28.15,2.037,2.73,0.05,log_20260424_153546.csv,67.86068333333334,0.6930000000000001,0.1,1.0
4073.733,-75.86,40.0,28.14,2.232,2.858,0.05,log_20260424_153546.csv,67.89555,0.6259999999999999,0.1,1.0
4075.825,-76.16,40.0,28.14,2.125,2.907,0.05,log_20260424_153546.csv,67.93041666666666,0.782,0.1,1.0
4077.916,-76.16,40.0,28.14,2.212,2.691,0.05,log_20260424_153546.csv,67.96526666666666,0.47899999999999965,0.1,1.0
4080.008,-76.24,40.0,28.14,2.203,2.867,0.05,log_20260424_153546.csv,68.00013333333332,0.6640000000000001,0.1,1.0
4082.1,-76.3,40.0,28.14,2.105,2.681,0.05,log_20260424_153546.csv,68.035,0.5760000000000001,0.1,1.0
4084.191,-76.44,40.0,28.14,2.232,2.779,0.05,log_20260424_153546.csv,68.06985,0.5469999999999997,0.1,1.0
4086.284,-76.39,40.0,28.14,2.105,2.681,0.05,log_20260424_153546.csv,68.10473333333333,0.5760000000000001,0.1,1.0
4088.38,-76.63,40.0,28.14,2.261,2.916,0.05,log_20260424_153546.csv,68.13966666666667,0.6549999999999998,0.1,1.0
4090.472,-76.72,40.0,28.14,2.008,2.838,0.05,log_20260424_153546.csv,68.17453333333334,0.8300000000000001,0.1,1.0
4092.564,-76.72,40.0,28.14,2.037,2.799,0.05,log_20260424_153546.csv,68.2094,0.762,0.1,1.0
4094.659,-76.74,40.0,28.14,2.212,2.759,0.05,log_20260424_153546.csv,68.24431666666666,0.5469999999999997,0.1,1.0
4096.751,-76.84,40.0,28.14,2.105,2.809,0.05,log_20260424_153546.csv,68.27918333333334,0.7040000000000002,0.1,1.0
4098.842,-76.89,40.0,28.14,2.193,2.779,0.05,log_20260424_153546.csv,68.31403333333333,0.5859999999999999,0.1,1.0
4100.934,-76.92,40.0,28.14,2.3,2.897,0.05,log_20260424_153546.csv,68.3489,0.597,0.1,1.0
4103.026,-77.06,40.0,28.14,2.203,2.71,0.05,log_20260424_153546.csv,68.38376666666666,0.5070000000000001,0.1,1.0
4105.117,-77.11,40.0,28.14,2.261,2.858,0.05,log_20260424_153546.csv,68.41861666666667,0.597,0.1,1.0
4107.209,-77.21,40.0,28.15,2.164,2.809,0.05,log_20260424_153546.csv,68.45348333333332,0.645,0.1,1.0
4109.301,-77.06,40.0,28.15,2.349,2.828,0.05,log_20260424_153546.csv,68.48835000000001,0.47899999999999965,0.1,1.0
4111.392,-77.08,40.0,28.15,2.271,2.877,0.05,log_20260424_153546.csv,68.5232,0.6059999999999999,0.1,1.0
4113.484,-77.11,40.0,28.14,2.037,2.652,0.05,log_20260424_153546.csv,68.55806666666668,0.6150000000000002,0.1,1.0
4115.576,-77.24,40.0,28.14,2.242,2.907,0.05,log_20260424_153546.csv,68.59293333333333,0.665,0.1,1.0
4117.667,-77.27,40.0,28.14,2.037,2.789,0.05,log_20260424_153546.csv,68.62778333333334,0.7520000000000002,0.1,1.0
4119.759,-77.25,40.0,28.14,2.339,2.907,0.05,log_20260424_153546.csv,68.66265,0.5680000000000001,0.1,1.0
4121.85,-77.34,40.0,28.14,1.998,2.74,0.05,log_20260424_153546.csv,68.6975,0.7420000000000002,0.1,1.0
4123.942,-77.48,40.0,28.14,2.31,2.956,0.05,log_20260424_153546.csv,68.73236666666666,0.6459999999999999,0.1,1.0
4126.034,-77.32,40.0,28.14,2.193,2.779,0.05,log_20260424_153546.csv,68.76723333333332,0.5859999999999999,0.1,1.0
4128.125,-77.24,40.0,28.14,2.31,3.014,0.05,log_20260424_153546.csv,68.80208333333333,0.7039999999999997,0.1,1.0
